,ccr,no_loss_default,loss_default
0,0.1,1.0,1.0
1,0.2,1.0,1.0
2,0.3,1.0,1.0
3,0.4,1.0,1.0
4,0.5,1.0,1.0
5,0.6,1.0,1.0
6,0.7,1.0,1.0
7,0.7999999999999999,1.0,0.9946
8,0.8999999999999999,1.0,0.8144
9,0.9999999999999999,1.0,0.5222
10,1.0999999999999999,0.0,0.3228
11,1.2,0.0,0.2188
12,1.3,0.0,0.1512
13,1.4,0.0,0.104
14,1.5,0.0,0.0812
15,1.5999999999999999,0.0,0.0604
16,1.7,0.0,0.0426
17,1.8,0.0,0.0382
18,1.9,0.0,0.0278
19,2.0,0.0,0.0228
20,2.0999999999999996,0.0,0.017
21,2.1999999999999997,0.0,0.0148
22,2.3,0.0,0.0088
23,2.4,0.0,0.0122
24,2.5,0.0,0.0078
25,2.6,0.0,0.0054
26,2.6999999999999997,0.0,0.0056
27,2.8,0.0,0.0052
28,2.9,0.0,0.005
29,3.0,0.0,0.0046
30,3.0999999999999996,0.0,0.0032
31,3.1999999999999997,0.0,0.001
32,3.3,0.0,0.002
33,3.4,0.0,0.0024
34,3.5,0.0,0.001
35,3.5999999999999996,0.0,0.0016
36,3.6999999999999997,0.0,0.0012
37,3.8,0.0,0.0008
38,3.9,0.0,0.0008
39,4.0,0.0,0.0002
