,machine_duration,deterministic,bsm,binomial,mc_rnd,mc_mu_zero,mc_mu_emp
0,0.1,276.9987372082916,276.9987372087772,276.9987372084032,346.1355993623068,346.28495669344,344.3589677949944
1,0.33793103448275863,1057.6643073532418,1057.6718799466628,1057.6710473499252,1106.373014230141,1107.7688105586008,1102.9768256459686
2,0.5758620689655173,1769.593020389245,1769.9509590065377,1769.93742791692,1805.733385386347,1809.7518088450213,1816.3696175518753
3,0.8137931034482758,2482.4090898976524,2484.9051556439144,2484.8588920516127,2559.888632471141,2483.2189359072745,2476.0777982169575
4,1.0517241379310345,3079.4073482723643,3087.688651119052,3087.608793977452,3198.2307196905836,2978.1479607144906,3058.389944435312
5,1.2896551724137932,3686.1764437712986,3705.75554355915,3705.6530253543356,3807.8524766336186,3490.1952484754324,3504.260549251499
6,1.5275862068965518,4193.643261435393,4230.6741900957095,4230.53856377974,4264.240472977667,4015.8977482939163,3918.6814250634034
7,1.7655172413793105,4664.476964958687,4725.840159095338,4725.657275162794,4699.84643441923,4498.935138263587,4541.675676526281
8,2.003448275862069,5152.6080258598995,5246.318877827964,5246.247374293361,5112.459635612171,4825.703005846901,4752.504596251301
9,2.241379310344828,5559.175825644443,5691.705694716262,5691.522094377332,5759.507568874232,5202.21873856289,5260.631499568322
10,2.4793103448275864,5938.98597045313,6117.320860088546,6117.299612386607,6084.968366552286,5635.488837712316,5820.300439776815
11,2.717241379310345,6339.920043729241,6572.437657634095,6572.473444851368,6305.1125157286915,6352.764809288112,6332.6745451730085
